"//Test","Index","HW_FETS","FHCR_FETS","FHCW_FETS","RWN","WDX","WDY","MODE","FLTMUX"
"dtHB^V_K0!HT1!S",0,0,0,0,1,1,0,0,"x"
"dtHB^P_K0!HT0!S",0,1,0,0,1,1,0,0,"x"
"dtHB^P_K0!HT1!S",0,1,0,0,1,1,0,0,"x"
"Rbhv_Vos^!HR0!S",0,1,0,0,0,1,0,0,"x"
"Rbhv_Vos^!HR1!S",0,1,0,0,0,1,0,0,"x"
"Rbhi^K2!HR0!R",0,1,0,0,1,1,0,0,"x"
"Rbhi^K2!HR1!R",0,1,0,0,1,1,0,0,"x"
"RMR_ACC_RDBHV!HR0!R",0,1,0,0,1,1,0,0,"x"
"RMR_ACC_RDBHV!HR1!R",0,1,0,0,1,1,0,0,"x"
"RMR_ACC_RDBHV_Cal!HR0!R",0,1,0,0,1,1,0,0,"x"
"RMR_ACC_RDBHV_Cal!HR1!R",0,1,0,0,1,1,0,0,"x"
"RMR_ACC_RDBHI!HR0!R",0,1,0,0,1,1,0,0,"x"
"RMR_ACC_RDBHI!HR1!R",0,1,0,0,1,1,0,0,"x"
"Wbhv^!HW0!S",0,1,0,0,0,0,1,0,"x"
"Wbhv^!HW1!S",0,1,0,0,0,0,1,0,"x"
"RW_ACC^!HW0!R",0,1,0,0,0,1,0,0,"x"
"RW_ACC^!HW1!R",0,1,0,0,0,1,0,0,"x"
"AdRheat!HT0!R",0,1,0,0,1,1,0,0,"x"
"AdRheat!HT1!R",0,1,0,0,1,1,0,0,"x"
"HBHI^!HT0!R",0,0,0,0,1,1,0,0,"x"
"HBHI^!HT1!R",0,0,0,0,1,1,0,0,"x"
"FHSbhv_Vos^!HS0!R",0,1,0,0,1,1,0,0,"x"
"FHSbhv_Vos^!HS1!R",0,1,0,0,1,1,0,0,"x"
"FHSbhi^!HS0!R",0,1,1,0,1,1,0,0,"x"
"FHSbhi^!HS1!R",0,1,1,0,1,1,0,0,"x"
"dIfhs^K7!HS0!R",0,0,0,0,1,1,0,0,"x"
"dIfhs^K7!HS1!R",0,0,0,0,1,1,0,0,"x"
"dVfhs^K0_RNG0!HS0!S",0,1,0,0,1,1,0,0,"x"
"dVfhs^K0_RNG0!HS1!S",0,1,0,0,1,1,0,0,"x"
"VFHScm_sel^VbiasMin!HS0!S",0,0,0,0,1,1,0,0,"x"
